Province,Sex,Age Group,Population
British Columbia,Females,18-64,1692404
British Columbia,Females,18-24,224105
British Columbia,Females,25-44,747238
British Columbia,Females,45-64,721061
Yukon,Both sexes,0+,43789
Yukon,Both sexes,0-4,2194
Yukon,Both sexes,5-9,2576
Yukon,Both sexes,10-14,2456
Yukon,Both sexes,15-19,2117
Yukon,Both sexes,20-24,2740
Yukon,Both sexes,25-29,2932
Yukon,Both sexes,30-34,3498
Yukon,Both sexes,35-39,3789
Yukon,Both sexes,40-44,3384
Yukon,Both sexes,45-49,2853
Yukon,Both sexes,50-54,2852
Yukon,Both sexes,55-59,2889
Yukon,Both sexes,60-64,3166
Yukon,Both sexes,65-69,2670
Yukon,Both sexes,70-74,1725
Yukon,Both sexes,75-79,1078
Yukon,Both sexes,80-84,498
Yukon,Both sexes,85-89,234
Yukon,Both sexes,90-94,93
Yukon,Both sexes,95-99,27
Yukon,Both sexes,0-14,7226
Yukon,Both sexes,0-15,7670
Yukon,Both sexes,0-16,8097
Yukon,Both sexes,0-17,8502
Yukon,Both sexes,15-49,21313
Yukon,Both sexes,15-64,30220
Yukon,Both sexes,16-64,29776
Yukon,Both sexes,17-64,29349
Yukon,Both sexes,18-64,28944
Yukon,Both sexes,18-24,3581
Yukon,Both sexes,25-44,13603
Yukon,Both sexes,45-64,11760
Yukon,Males,0+,22215
Yukon,Males,0-4,1165
Yukon,Males,5-9,1373
Yukon,Males,10-14,1264
Yukon,Males,15-19,1072
Yukon,Males,20-24,1464
Yukon,Males,25-29,1549
Yukon,Males,30-34,1760
Yukon,Males,35-39,1837
Yukon,Males,40-44,1673
Yukon,Males,45-49,1326
Yukon,Males,50-54,1452
Yukon,Males,55-59,1440
Yukon,Males,60-64,1547
Yukon,Males,65-69,1384
Yukon,Males,70-74,878
Yukon,Males,75-79,578
Yukon,Males,80-84,281
Yukon,Males,85-89,98
Yukon,Males,90-94,58
Yukon,Males,95-99,13
Yukon,Males,0-14,3802
Yukon,Males,0-15,4019
Yukon,Males,0-16,4234
Yukon,Males,0-17,4429
Yukon,Males,15-49,10681
Yukon,Males,15-64,15120
Yukon,Males,16-64,14903
Yukon,Males,17-64,14688
Yukon,Males,18-64,14493
Yukon,Males,18-24,1909
Yukon,Males,25-44,6819
Yukon,Males,45-64,5765
Yukon,Females,0+,21574
Yukon,Females,0-4,1029
Yukon,Females,5-9,1203
Yukon,Females,10-14,1192
Yukon,Females,15-19,1045
Yukon,Females,20-24,1276
Yukon,Females,25-29,1383
Yukon,Females,30-34,1738
Yukon,Females,35-39,1952
Yukon,Females,40-44,1711
Yukon,Females,45-49,1527
Yukon,Females,50-54,1400
Yukon,Females,55-59,1449
Yukon,Females,60-64,1619
Yukon,Females,65-69,1286
Yukon,Females,70-74,847
Yukon,Females,75-79,500
Yukon,Females,80-84,217
Yukon,Females,85-89,136
Yukon,Females,90-94,35
Yukon,Females,95-99,14
Yukon,Females,0-14,3424
Yukon,Females,0-15,3651
Yukon,Females,0-16,3863
Yukon,Females,0-17,4073
Yukon,Females,15-49,10632
Yukon,Females,15-64,15100
Yukon,Females,16-64,14873
Yukon,Females,17-64,14661
Yukon,Females,18-64,14451
Yukon,Females,18-24,1672
Yukon,Females,25-44,6784
Yukon,Females,45-64,5995
Northwest Territories,Both sexes,0+,45605
Northwest Territories,Both sexes,0-4,2794
Northwest Territories,Both sexes,5-9,2992
Northwest Territories,Both sexes,10-14,2997
Northwest Territories,Both sexes,15-19,2869
Northwest Territories,Both sexes,20-24,3094
Northwest Territories,Both sexes,25-29,3701
Northwest Territories,Both sexes,30-34,3787
Northwest Territories,Both sexes,35-39,3391
Northwest Territories,Both sexes,40-44,3441
Northwest Territories,Both sexes,45-49,2806
Northwest Territories,Both sexes,50-54,3096
Northwest Territories,Both sexes,55-59,3355
Northwest Territories,Both sexes,60-64,2697
Northwest Territories,Both sexes,65-69,2078
Northwest Territories,Both sexes,70-74,1224
Northwest Territories,Both sexes,75-79,741
Northwest Territories,Both sexes,80-84,307
Northwest Territories,Both sexes,85-89,160
Northwest Territories,Both sexes,90-94,58
Northwest Territories,Both sexes,95-99,11
Northwest Territories,Both sexes,0-14,8783
Northwest Territories,Both sexes,0-15,9378
Northwest Territories,Both sexes,0-16,9973
Northwest Territories,Both sexes,0-17,10545
Northwest Territories,Both sexes,15-49,23089
Northwest Territories,Both sexes,15-64,32237
Northwest Territories,Both sexes,16-64,31642
Northwest Territories,Both sexes,17-64,31047
Northwest Territories,Both sexes,18-64,30475
Northwest Territories,Both sexes,18-24,4201
Northwest Territories,Both sexes,25-44,14320
Northwest Territories,Both sexes,45-64,11954
Northwest Territories,Males,0+,23510
Northwest Territories,Males,0-4,1540
Northwest Territories,Males,5-9,1549
Northwest Territories,Males,10-14,1442
Northwest Territories,Males,15-19,1401
Northwest Territories,Males,20-24,1542
Northwest Territories,Males,25-29,2069
Northwest Territories,Males,30-34,1948
Northwest Territories,Males,35-39,1754
Northwest Territories,Males,40-44,1698
Northwest Territories,Males,45-49,1300
Northwest Territories,Males,50-54,1557
Northwest Territories,Males,55-59,1803
Northwest Territories,Males,60-64,1535
Northwest Territories,Males,65-69,1016
Northwest Territories,Males,70-74,660
Northwest Territories,Males,75-79,417
Northwest Territories,Males,80-84,151
Northwest Territories,Males,85-89,104
Northwest Territories,Males,90-94,18
Northwest Territories,Males,95-99,1
Northwest Territories,Males,0-14,4531
Northwest Territories,Males,0-15,4831
Northwest Territories,Males,0-16,5125
Northwest Territories,Males,0-17,5410
Northwest Territories,Males,15-49,11712
Northwest Territories,Males,15-64,16607
Northwest Territories,Males,16-64,16307
Northwest Territories,Males,17-64,16013
Northwest Territories,Males,18-64,15728
Northwest Territories,Males,18-24,2064
Northwest Territories,Males,25-44,7469
Northwest Territories,Males,45-64,6195
Northwest Territories,Females,0+,22095
Northwest Territories,Females,0-4,1254
Northwest Territories,Females,5-9,1443
Northwest Territories,Females,10-14,1555
Northwest Territories,Females,15-19,1468
Northwest Territories,Females,20-24,1552
Northwest Territories,Females,25-29,1632
Northwest Territories,Females,30-34,1839
Northwest Territories,Females,35-39,1637
Northwest Territories,Females,40-44,1743
Northwest Territories,Females,45-49,1506
Northwest Territories,Females,50-54,1539
Northwest Territories,Females,55-59,1552
Northwest Territories,Females,60-64,1162
Northwest Territories,Females,65-69,1062
Northwest Territories,Females,70-74,564
Northwest Territories,Females,75-79,324
Northwest Territories,Females,80-84,156
Northwest Territories,Females,85-89,56
Northwest Territories,Females,90-94,40
Northwest Territories,Females,95-99,10
Northwest Territories,Females,0-14,4252
Northwest Territories,Females,0-15,4547
Northwest Territories,Females,0-16,4848
Northwest Territories,Females,0-17,5135
Northwest Territories,Females,15-49,11377
Northwest Territories,Females,15-64,15630
Northwest Territories,Females,16-64,15335
Northwest Territories,Females,17-64,15034
Northwest Territories,Females,18-64,14747
Northwest Territories,Females,18-24,2137
Northwest Territories,Females,25-44,6851
Northwest Territories,Females,45-64,5759
Nunavut,Both sexes,0+,40526
Nunavut,Both sexes,0-4,4114
Nunavut,Both sexes,5-9,4207
Nunavut,Both sexes,10-14,4104
Nunavut,Both sexes,15-19,3481
Nunavut,Both sexes,20-24,3145
Nunavut,Both sexes,25-29,3195
Nunavut,Both sexes,30-34,3327
Nunavut,Both sexes,35-39,2811
Nunavut,Both sexes,40-44,2560
Nunavut,Both sexes,45-49,2105
Nunavut,Both sexes,50-54,2445
Nunavut,Both sexes,55-59,1971
Nunavut,Both sexes,60-64,1252
Nunavut,Both sexes,65-69,733
Nunavut,Both sexes,70-74,545
Nunavut,Both sexes,75-79,304
Nunavut,Both sexes,80-84,145
Nunavut,Both sexes,85-89,53
Nunavut,Both sexes,90-94,24
Nunavut,Both sexes,95-99,3
Nunavut,Both sexes,0-14,12425
Nunavut,Both sexes,0-15,13176
Nunavut,Both sexes,0-16,13889
Nunavut,Both sexes,0-17,14573
Nunavut,Both sexes,15-49,20624
Nunavut,Both sexes,15-64,26292
Nunavut,Both sexes,16-64,25541
Nunavut,Both sexes,17-64,24828
Nunavut,Both sexes,18-64,24144
Nunavut,Both sexes,18-24,4478
Nunavut,Both sexes,25-44,11893
Nunavut,Both sexes,45-64,7773
Nunavut,Males,0+,20746
Nunavut,Males,0-4,2058
Nunavut,Males,5-9,2161
Nunavut,Males,10-14,2086
Nunavut,Males,15-19,1756
Nunavut,Males,20-24,1603
Nunavut,Males,25-29,1603
Nunavut,Males,30-34,1661
Nunavut,Males,35-39,1429
Nunavut,Males,40-44,1322
Nunavut,Males,45-49,1104
Nunavut,Males,50-54,1296
Nunavut,Males,55-59,1031
Nunavut,Males,60-64,589
Nunavut,Males,65-69,453
Nunavut,Males,70-74,310
Nunavut,Males,75-79,160
Nunavut,Males,80-84,77
Nunavut,Males,85-89,30
Nunavut,Males,90-94,14
Nunavut,Males,95-99,3
Nunavut,Males,0-14,6305
Nunavut,Males,0-15,6710
Nunavut,Males,0-16,7063
Nunavut,Males,0-17,7405
Nunavut,Males,15-49,10478
Nunavut,Males,15-64,13394
Nunavut,Males,16-64,12989
Nunavut,Males,17-64,12636
Nunavut,Males,18-64,12294
Nunavut,Males,18-24,2259
Nunavut,Males,25-44,6015
Nunavut,Males,45-64,4020
Nunavut,Females,0+,19780
Nunavut,Females,0-4,2056
Nunavut,Females,5-9,2046
Nunavut,Females,10-14,2018
Nunavut,Females,15-19,1725
Nunavut,Females,20-24,1542
Nunavut,Females,25-29,1592
Nunavut,Females,30-34,1666
Nunavut,Females,35-39,1382
Nunavut,Females,40-44,1238
Nunavut,Females,45-49,1001
Nunavut,Females,50-54,1149
Nunavut,Females,55-59,940
Nunavut,Females,60-64,663
Nunavut,Females,65-69,280
Nunavut,Females,70-74,235
Nunavut,Females,75-79,144
Nunavut,Females,80-84,68
Nunavut,Females,85-89,23
Nunavut,Females,90-94,10
Nunavut,Females,95-99,0
Nunavut,Females,0-14,6120
Nunavut,Females,0-15,6466
Nunavut,Females,0-16,6826
Nunavut,Females,0-17,7168
Nunavut,Females,15-49,10146
Nunavut,Females,15-64,12898
Nunavut,Females,16-64,12552
Nunavut,Females,17-64,12192
Nunavut,Females,18-64,11850
Nunavut,Females,18-24,2219
Nunavut,Females,25-44,5878
Nunavut,Females,45-64,3753
